WORD: gişe, FREQ: 1
WORD: hasılatı, FREQ: 1
WORD: elde, FREQ: 1
WORD: etmesinin, FREQ: 1
WORD: sebebi, FREQ: 1
WORD: hikayesini, FREQ: 1
WORD: derece, FREQ: 1
WORD: dürüstçe, FREQ: 1
WORD: yüreklilikle, FREQ: 1
WORD: zekaya, FREQ: 1
WORD: hitep, FREQ: 1
WORD: eden, FREQ: 1
WORD: inceliklerle, FREQ: 1
WORD: anlatmış, FREQ: 1
WORD: olması, FREQ: 1
WORD: içerdiği, FREQ: 1
WORD: ciddi, FREQ: 1
WORD: eleştirisi, FREQ: 1
WORD: kara, FREQ: 1
WORD: komedi, FREQ: 1
WORD: detayları, FREQ: 1
WORD: portre, FREQ: 1
WORD: çalışmaları, FREQ: 1
WORD: sinemasının, FREQ: 1
WORD: çıtasını, FREQ: 1
WORD: yükseğe, FREQ: 1
WORD: taşımaktadır, FREQ: 1
WORD: sınıfsal, FREQ: 1
WORD: eleştirinin, FREQ: 1
WORD: saldırmadan, FREQ: 1
WORD: karikatürize, FREQ: 1
WORD: etmeden, FREQ: 1
WORD: düşmanlık, FREQ: 1
WORD: üretmeden, FREQ: 1
WORD: kahraman, FREQ: 1
WORD: yaratmadan, FREQ: 1
WORD: başarılabileceğini, FREQ: 1
WORD: göstermesiyle, FREQ: 1
WORD: dünya, FREQ: 1
WORD: diline, FREQ: 1
WORD: yeni, FREQ: 1
WORD: soluk, FREQ: 1
WORD: getirmiştir, FREQ: 1
WORD: i̇smail, FREQ: 1
WORD: timur, FREQ: 1
WORD: yönetmenin, FREQ: 1
WORD: şirketi, FREQ: 1
WORD: fransa’dan, FREQ: 1
WORD: ortak, FREQ: 1
WORD: çekildi, FREQ: 1
WORD: filme, FREQ: 1
WORD: euro, FREQ: 1
WORD: luk, FREQ: 1
WORD: destek, FREQ: 1
WORD: almıştır, FREQ: 1
WORD: çekimler, FREQ: 1
WORD: mevsiminde, FREQ: 1
WORD: sonrasında, FREQ: 1
WORD: i̇stanbul, FREQ: 1
WORD: stüdyoda, FREQ: 1
WORD: gerçekleştirildi, FREQ: 1
WORD: çekimlerde, FREQ: 1
WORD: kamera, FREQ: 1
WORD: kullanıldı, FREQ: 1
WORD: eleştirmenlerden, FREQ: 1
WORD: övgü, FREQ: 1
WORD: dolu, FREQ: 1
WORD: yorumlar, FREQ: 1
WORD: eleştiri, FREQ: 1
WORD: topluluğu, FREQ: 1
WORD: sitesi, FREQ: 1
WORD: rotten, FREQ: 1
WORD: tomatoes, FREQ: 1
WORD: ta , FREQ: 1
WORD: lik, FREQ: 1
